CSE24001, Priya Verma, CSE, 1, A
24MECH194, Vidya Reddy, MECH, 2, B
24MECH195, Priya Nair, MECH, 3, A
24MECH196, Riya Kumar, MECH, 4, B
24MECH197, Gita Shah, MECH, 1, A
24MECH198, Farhan Prasad, MECH, 2, B
24MECH199, Lalit Iyer, MECH, 3, A
24MECH200, Meera Nair, MECH, 4, B
CIVIL-2024-001, Gita Prasad, CIVIL, 1, A
CIVIL-2024-002, Isha Kapoor, CIVIL, 2, B
CIVIL-2024-003, Uday Rao, CIVIL, 3, A
CIVIL-2024-004, Lalit Das, CIVIL, 4, B
CIVIL-2024-005, Riya Shah, CIVIL, 1, A
CIVIL-2024-006, Chetan Kumar, CIVIL, 2, B
CIVIL-2024-007, Divya Menon, CIVIL, 3, A
CIVIL-2024-008, Vidya Kapoor, CIVIL, 4, B
CIVIL-2024-009, Om Verma, CIVIL, 1, A
CIVIL-2024-010, Tara Kumar, CIVIL, 2, B
CIVIL-2024-011, Meera Das, CIVIL, 3, A
CIVIL-2024-012, Qasim Prasad, CIVIL, 4, B
CIVIL-2024-013, Gita Gupta, CIVIL, 1, A
CIVIL-2024-014, Yash Pillai, CIVIL, 2, B
CIVIL-2024-015, Uday Das, CIVIL, 3, A
CIVIL-2024-016, Qasim Menon, CIVIL, 4, B
CIVIL-2024-017, Esha Iyer, CIVIL, 1, A
CIVIL-2024-018, Xena Singh, CIVIL, 2, B
CIVIL-2024-019, Meera Reddy, CIVIL, 3, A
CIVIL-2024-020, Hari Joshi, CIVIL, 4, B
CIVIL-2024-021, Waseem Nair, CIVIL, 1, A
CIVIL-2024-022, Kavya Sharma, CIVIL, 2, B
CIVIL-2024-023, Waseem Singh, CIVIL, 3, A
CIVIL-2024-024, Asha Reddy, CIVIL, 4, B
CIVIL-2024-025, Xena Kapoor, CIVIL, 1, A
CIVIL-2024-026, Chetan Khan, CIVIL, 2, B
CIVIL-2024-027, Lalit Ali, CIVIL, 3, A
CIVIL-2024-028, Vidya Bose, CIVIL, 4, B
CIVIL-2024-029, Priya Khan, CIVIL, 1, A
CIVIL-2024-030, Yash Nair, CIVIL, 2, B
CIVIL-2024-031, Priya Nair, CIVIL, 3, A
CIVIL-2024-032, Meera Patel, CIVIL, 4, B
CIVIL-2024-033, Tara Das, CIVIL, 1, A
CIVIL-2024-034, Isha Menon, CIVIL, 2, B
CIVIL-2024-035, Chetan Shah, CIVIL, 3, A
CIVIL-2024-036, Farhan Patel, CIVIL, 4, B
CIVIL-2024-037, Om Joshi, CIVIL, 1, A
CIVIL-2024-038, Yash Joshi, CIVIL, 2, B
CIVIL-2024-039, Tara Ali, CIVIL, 3, A
CIVIL-2024-040, Esha Khan, CIVIL, 4, B
CIVIL-2024-041, Asha Patel, CIVIL, 1, A
CIVIL-2024-042, Bilal Rao, CIVIL, 2, B
CIVIL-2024-043, Chetan Ali, CIVIL, 3, A
CIVIL-2024-044, Meera Shah, CIVIL, 4, B
CIVIL-2024-045, Chetan Singh, CIVIL, 1, A
CIVIL-2024-046, Zara Shah, CIVIL, 2, B
CIVIL-2024-047, Meera Prasad, CIVIL, 3, A
CIVIL-2024-048, Chetan Sharma, CIVIL, 4, B
CIVIL-2024-049, Om Khan, CIVIL, 1, A
CIVIL-2024-050, Esha Khan, CIVIL, 2, B
CIVIL-2024-051, Asha Menon, CIVIL, 3, A
CIVIL-2024-052, Sahil Singh, CIVIL, 4, B
CIVIL-2024-053, Jatin Kapoor, CIVIL, 1, A
CIVIL-2024-054, Kavya Patel, CIVIL, 2, B
CIVIL-2024-055, Divya Menon, CIVIL, 3, A
CIVIL-2024-056, Lalit Pillai, CIVIL, 4, B
CIVIL-2024-057, Kavya Khan, CIVIL, 1, A
CIVIL-2024-058, Chetan Sharma, CIVIL, 2, B
CIVIL-2024-059, Priya Sharma, CIVIL, 3, A
CIVIL-2024-060, Meera Verma, CIVIL, 4, B
CIVIL-2024-061, Kavya Iyer, CIVIL, 1, A
CIVIL-2024-062, Uday Gupta, CIVIL, 2, B
CIVIL-2024-063, Esha Pillai, CIVIL, 3, A
CIVIL-2024-064, Yash Joshi, CIVIL, 4, B
CIVIL-2024-065, Lalit Ali, CIVIL, 1, A
CIVIL-2024-066, Sahil Kapoor, CIVIL, 2, B
CIVIL-2024-067, Esha Gupta, CIVIL, 3, A
CIVIL-2024-068, Yash Prasad, CIVIL, 4, B
CIVIL-2024-069, Yash Menon, CIVIL, 1, A
CIVIL-2024-070, Xena Prasad, CIVIL, 2, B
CIVIL-2024-071, Kavya Prasad, CIVIL, 3, A
CIVIL-2024-072, Jatin Reddy, CIVIL, 4, B
CIVIL-2024-073, Zara Patel, CIVIL, 1, A
CIVIL-2024-074, Lalit Rao, CIVIL, 2, B
CIVIL-2024-075, Divya Khan, CIVIL, 3, A
CIVIL-2024-076, Uday Reddy, CIVIL, 4, B
CIVIL-2024-077, Asha Patel, CIVIL, 1, A
CIVIL-2024-078, Tara Singh, CIVIL, 2, B
CIVIL-2024-079, Meera Gupta, CIVIL, 3, A
CIVIL-2024-080, Tara Bose, CIVIL, 4, B
CIVIL-2024-081, Esha Patel, CIVIL, 1, A
CIVIL-2024-082, Lalit Reddy, CIVIL, 2, B
CIVIL-2024-083, Zara Patel, CIVIL, 3, A
CIVIL-2024-084, Om Menon, CIVIL, 4, B
CIVIL-2024-085, Lalit Menon, CIVIL, 1, A
CIVIL-2024-086, Waseem Sharma, CIVIL, 2, B
CIVIL-2024-087, Om Sharma, CIVIL, 3, A
CIVIL-2024-088, Hari Menon, CIVIL, 4, B
CIVIL-2024-089, Sahil Kumar, CIVIL, 1, A
CIVIL-2024-090, Chetan Menon, CIVIL, 2, B
CIVIL-2024-091, Nikhil Iyer, CIVIL, 3, A
CIVIL-2024-092, Zara Sharma, CIVIL, 4, B
CIVIL-2024-093, Nikhil Nair, CIVIL, 1, A
CIVIL-2024-094, Meera Shah, CIVIL, 2, B
CIVIL-2024-095, Gita Ali, CIVIL, 3, A
CIVIL-2024-096, Hari Iyer, CIVIL, 4, B
CIVIL-2024-097, Zara Iyer, CIVIL, 1, A
CIVIL-2024-098, Meera Khan, CIVIL, 2, B
CIVIL-2024-099, Esha Pillai, CIVIL, 3, A
CIVIL-2024-100, Lalit Reddy, CIVIL, 4, B
CIVIL-2024-101, Riya Pillai, CIVIL, 1, A
CIVIL-2024-102, Kavya Singh, CIVIL, 2, B
CIVIL-2024-103, Om Verma, CIVIL, 3, A
CIVIL-2024-104, Bilal Ali, CIVIL, 4, B
CIVIL-2024-105, Divya Pillai, CIVIL, 1, A
CIVIL-2024-106, Uday Patel, CIVIL, 2, B
CIVIL-2024-107, Nikhil Ali, CIVIL, 3, A
CIVIL-2024-108, Hari Kumar, CIVIL, 4, B
CIVIL-2024-109, Tara Menon, CIVIL, 1, A
CIVIL-2024-110, Yash Pillai, CIVIL, 2, B
CIVIL-2024-111, Bilal Nair, CIVIL, 3, A
CIVIL-2024-112, Waseem Reddy, CIVIL, 4, B
CIVIL-2024-113, Farhan Rao, CIVIL, 1, A
CIVIL-2024-114, Vidya Sharma, CIVIL, 2, B
CIVIL-2024-115, Tara Menon, CIVIL, 3, A
CIVIL-2024-116, Hari Nair, CIVIL, 4, B
CIVIL-2024-117, Farhan Ali, CIVIL, 1, A
CIVIL-2024-118, Zara Khan, CIVIL, 2, B
CIVIL-2024-119, Jatin Iyer, CIVIL, 3, A
CIVIL-2024-120, Esha Menon, CIVIL, 4, B
CIVIL-2024-121, Gita Sharma, CIVIL, 1, A
CIVIL-2024-122, Gita Nair, CIVIL, 2, B
CIVIL-2024-123, Sahil Kapoor, CIVIL, 3, A
CIVIL-2024-124, Xena Reddy, CIVIL, 4, B
CIVIL-2024-125, Sahil Iyer, CIVIL, 1, A
CIVIL-2024-126, Xena Reddy, CIVIL, 2, B
CIVIL-2024-127, Divya Patel, CIVIL, 3, A
CIVIL-2024-128, Qasim Khan, CIVIL, 4, B
CIVIL-2024-129, Chetan Khan, CIVIL, 1, A
CIVIL-2024-130, Zara Gupta, CIVIL, 2, B
CIVIL-2024-131, Jatin Singh, CIVIL, 3, A
CIVIL-2024-132, Esha Nair, CIVIL, 4, B
CIVIL-2024-133, Divya Das, CIVIL, 1, A
CIVIL-2024-134, Isha Nair, CIVIL, 2, B
CIVIL-2024-135, Sahil Shah, CIVIL, 3, A
CIVIL-2024-136, Jatin Iyer, CIVIL, 4, B
CIVIL-2024-137, Qasim Joshi, CIVIL, 1, A
CIVIL-2024-138, Sahil Singh, CIVIL, 2, B
CIVIL-2024-139, Asha Nair, CIVIL, 3, A
CIVIL-2024-140, Meera Gupta, CIVIL, 4, B
CIVIL-2024-141, Chetan Bose, CIVIL, 1, A
CIVIL-2024-142, Priya Patel, CIVIL, 2, B
CIVIL-2024-143, Priya Reddy, CIVIL, 3, A
CIVIL-2024-144, Yash Menon, CIVIL, 4, B
CIVIL-2024-145, Asha Singh, CIVIL, 1, A
CIVIL-2024-146, Chetan Sharma, CIVIL, 2, B
CIVIL-2024-147, Waseem Reddy, CIVIL, 3, A
CIVIL-2024-148, Asha Bose, CIVIL, 4, B
CIVIL-2024-149, Waseem Kapoor, CIVIL, 1, A
CIVIL-2024-150, Bilal Pillai, CIVIL, 2, B
CIVIL-2024-151, Kavya Menon, CIVIL, 3, A
CIVIL-2024-152, Riya Prasad, CIVIL, 4, B
CIVIL-2024-153, Isha Menon, CIVIL, 1, A
CIVIL-2024-154, Xena Bose, CIVIL, 2, B
CIVIL-2024-155, Asha Bose, CIVIL, 3, A
CIVIL-2024-156, Jatin Ali, CIVIL, 4, B
CIVIL-2024-157, Tara Pillai, CIVIL, 1, A
CIVIL-2024-158, Nikhil Pillai, CIVIL, 2, B
CIVIL-2024-159, Esha Das, CIVIL, 3, A
CIVIL-2024-160, Zara Singh, CIVIL, 4, B
CIVIL-2024-161, Gita Das, CIVIL, 1, A
CIVIL-2024-162, Xena Reddy, CIVIL, 2, B
CIVIL-2024-163, Om Ali, CIVIL, 3, A
CIVIL-2024-164, Chetan Das, CIVIL, 4, B
CIVIL-2024-165, Zara Rao, CIVIL, 1, A
CIVIL-2024-166, Tara Joshi, CIVIL, 2, B
CIVIL-2024-167, Nikhil Gupta, CIVIL, 3, A
CIVIL-2024-168, Divya Gupta, CIVIL, 4, B
CIVIL-2024-169, Jatin Joshi, CIVIL, 1, A
CIVIL-2024-170, Esha Iyer, CIVIL, 2, B
CIVIL-2024-171, Chetan Shah, CIVIL, 3, A
CIVIL-2024-172, Divya Nair, CIVIL, 4, B
CIVIL-2024-173, Vidya Iyer, CIVIL, 1, A
CIVIL-2024-174, Qasim Rao, CIVIL, 2, B
CIVIL-2024-175, Chetan Pillai, CIVIL, 3, A
CIVIL-2024-176, Bilal Patel, CIVIL, 4, B
CIVIL-2024-177, Gita Ali, CIVIL, 1, A
CIVIL-2024-178, Gita Kumar, CIVIL, 2, B
CIVIL-2024-179, Om Sharma, CIVIL, 3, A
CIVIL-2024-180, Riya Gupta, CIVIL, 4, B
CIVIL-2024-181, Jatin Joshi, CIVIL, 1, A
CIVIL-2024-182, Meera Khan, CIVIL, 2, B
CIVIL-2024-183, Qasim Pillai, CIVIL, 3, A
CIVIL-2024-184, Esha Rao, CIVIL, 4, B
CIVIL-2024-185, Xena Das, CIVIL, 1, A
CIVIL-2024-186, Gita Khan, CIVIL, 2, B
CIVIL-2024-187, Om Gupta, CIVIL, 3, A
CIVIL-2024-188, Meera Patel, CIVIL, 4, B
CIVIL-2024-189, Bilal Das, CIVIL, 1, A
CIVIL-2024-190, Lalit Iyer, CIVIL, 2, B
CIVIL-2024-191, Yash Sharma, CIVIL, 3, A
CIVIL-2024-192, Riya Singh, CIVIL, 4, B
CIVIL-2024-193, Qasim Verma, CIVIL, 1, A
CIVIL-2024-194, Asha Ali, CIVIL, 2, B
CIVIL-2024-195, Vidya Kapoor, CIVIL, 3, A
CIVIL-2024-196, Riya Singh, CIVIL, 4, B
CIVIL-2024-197, Riya Menon, CIVIL, 1, A
CIVIL-2024-198, Xena Reddy, CIVIL, 2, B
CIVIL-2024-199, Vidya Patel, CIVIL, 3, A
CIVIL-2024-200, Gita Bose, CIVIL, 4, B
IT/24/001, Priya Rao, IT, 1, A
IT/24/002, Farhan Joshi, IT, 2, B
IT/24/003, Xena Ali, IT, 3, A
IT/24/004, Om Nair, IT, 4, B
IT/24/005, Qasim Khan, IT, 1, A
IT/24/006, Hari Reddy, IT, 2, B
IT/24/007, Chetan Iyer, IT, 3, A
IT/24/008, Esha Das, IT, 4, B
IT/24/009, Esha Menon, IT, 1, A
IT/24/010, Tara Verma, IT, 2, B
IT/24/011, Isha Khan, IT, 3, A
IT/24/012, Priya Gupta, IT, 4, B
IT/24/013, Sahil Iyer, IT, 1, A
IT/24/014, Priya Das, IT, 2, B
IT/24/015, Divya Patel, IT, 3, A
IT/24/016, Bilal Verma, IT, 4, B
IT/24/017, Jatin Joshi, IT, 1, A
IT/24/018, Isha Khan, IT, 2, B
IT/24/019, Meera Verma, IT, 3, A
IT/24/020, Sahil Shah, IT, 4, B
IT/24/021, Zara Joshi, IT, 1, A
IT/24/022, Uday Reddy, IT, 2, B
IT/24/023, Yash Joshi, IT, 3, A
IT/24/024, Divya Bose, IT, 4, B
IT/24/025, Xena Rao, IT, 1, A
IT/24/026, Kavya Pillai, IT, 2, B
IT/24/027, Lalit Reddy, IT, 3, A
IT/24/028, Lalit Ali, IT, 4, B
IT/24/029, Nikhil Nair, IT, 1, A
IT/24/030, Xena Ali, IT, 2, B
IT/24/031, Gita Das, IT, 3, A
IT/24/032, Nikhil Menon, IT, 4, B
IT/24/033, Sahil Nair, IT, 1, A
IT/24/034, Riya Joshi, IT, 2, B
IT/24/035, Yash Verma, IT, 3, A
IT/24/036, Farhan Prasad, IT, 4, B
IT/24/037, Isha Singh, IT, 1, A
IT/24/038, Uday Shah, IT, 2, B
IT/24/039, Waseem Ali, IT, 3, A
IT/24/040, Bilal Kumar, IT, 4, B
IT/24/041, Xena Reddy, IT, 1, A
IT/24/042, Riya Das, IT, 2, B
IT/24/043, Qasim Gupta, IT, 3, A
IT/24/044, Lalit Prasad, IT, 4, B
IT/24/045, Gita Bose, IT, 1, A
IT/24/046, Chetan Prasad, IT, 2, B
IT/24/047, Sahil Rao, IT, 3, A
IT/24/048, Tara Gupta, IT, 4, B
IT/24/049, Kavya Shah, IT, 1, A
IT/24/050, Chetan Prasad, IT, 2, B
IT/24/051, Isha Pillai, IT, 3, A
IT/24/052, Zara Ali, IT, 4, B
IT/24/053, Vidya Rao, IT, 1, A
IT/24/054, Xena Singh, IT, 2, B
IT/24/055, Qasim Rao, IT, 3, A
IT/24/056, Zara Menon, IT, 4, B
IT/24/057, Bilal Menon, IT, 1, A
IT/24/058, Farhan Sharma, IT, 2, B
IT/24/059, Waseem Ali, IT, 3, A
IT/24/060, Bilal Rao, IT, 4, B
IT/24/061, Zara Singh, IT, 1, A
IT/24/062, Waseem Pillai, IT, 2, B
IT/24/063, Jatin Bose, IT, 3, A
IT/24/064, Yash Gupta, IT, 4, B
IT/24/065, Esha Patel, IT, 1, A
IT/24/066, Bilal Kumar, IT, 2, B
IT/24/067, Om Nair, IT, 3, A
IT/24/068, Om Ali, IT, 4, B
IT/24/069, Kavya Menon, IT, 1, A
IT/24/070, Tara Das, IT, 2, B
IT/24/071, Riya Gupta, IT, 3, A
IT/24/072, Nikhil Joshi, IT, 4, B
IT/24/073, Om Kumar, IT, 1, A
IT/24/074, Chetan Kapoor, IT, 2, B
IT/24/075, Divya Nair, IT, 3, A
IT/24/076, Esha Kapoor, IT, 4, B
IT/24/077, Chetan Bose, IT, 1, A
IT/24/078, Kavya Gupta, IT, 2, B
IT/24/079, Sahil Shah, IT, 3, A
IT/24/080, Waseem Bose, IT, 4, B
IT/24/081, Chetan Pillai, IT, 1, A
IT/24/082, Yash Das, IT, 2, B
IT/24/083, Farhan Shah, IT, 3, A
IT/24/084, Isha Shah, IT, 4, B
IT/24/085, Riya Reddy, IT, 1, A
IT/24/086, Hari Gupta, IT, 2, B
IT/24/087, Kavya Verma, IT, 3, A
IT/24/088, Divya Khan, IT, 4, B
IT/24/089, Esha Verma, IT, 1, A
IT/24/090, Divya Sharma, IT, 2, B
IT/24/091, Isha Kapoor, IT, 3, A
IT/24/092, Priya Rao, IT, 4, B
IT/24/093, Riya Iyer, IT, 1, A
IT/24/094, Divya Ali, IT, 2, B
IT/24/095, Sahil Gupta, IT, 3, A
IT/24/096, Zara Prasad, IT, 4, B
IT/24/097, Jatin Shah, IT, 1, A
IT/24/098, Divya Das, IT, 2, B
IT/24/099, Farhan Iyer, IT, 3, A
IT/24/100, Divya Ali, IT, 4, B
IT/24/101, Hari Kumar, IT, 1, A
IT/24/102, Sahil Kapoor, IT, 2, B
IT/24/103, Farhan Nair, IT, 3, A
IT/24/104, Hari Pillai, IT, 4, B
IT/24/105, Jatin Menon, IT, 1, A
IT/24/106, Esha Kapoor, IT, 2, B
IT/24/107, Tara Nair, IT, 3, A
IT/24/108, Zara Menon, IT, 4, B
IT/24/109, Lalit Das, IT, 1, A
IT/24/110, Riya Joshi, IT, 2, B
IT/24/111, Lalit Pillai, IT, 3, A
IT/24/112, Asha Joshi, IT, 4, B
IT/24/113, Priya Gupta, IT, 1, A
IT/24/114, Zara Pillai, IT, 2, B
IT/24/115, Xena Kapoor, IT, 3, A
IT/24/116, Zara Nair, IT, 4, B
IT/24/117, Hari Kapoor, IT, 1, A
IT/24/118, Chetan Sharma, IT, 2, B
IT/24/119, Meera Iyer, IT, 3, A
IT/24/120, Riya Verma, IT, 4, B
IT/24/121, Farhan Das, IT, 1, A
IT/24/122, Priya Menon, IT, 2, B
IT/24/123, Vidya Bose, IT, 3, A
IT/24/124, Meera Kumar, IT, 4, B
IT/24/125, Lalit Menon, IT, 1, A
IT/24/126, Esha Shah, IT, 2, B
IT/24/127, Chetan Kumar, IT, 3, A
IT/24/128, Om Rao, IT, 4, B
IT/24/129, Riya Nair, IT, 1, A
IT/24/130, Divya Pillai, IT, 2, B
IT/24/131, Divya Kapoor, IT, 3, A
IT/24/132, Divya Ali, IT, 4, B
IT/24/133, Uday Rao, IT, 1, A
IT/24/134, Qasim Pillai, IT, 2, B
IT/24/135, Yash Kumar, IT, 3, A
IT/24/136, Farhan Joshi, IT, 4, B
IT/24/137, Gita Kumar, IT, 1, A
IT/24/138, Asha Kapoor, IT, 2, B
IT/24/139, Kavya Singh, IT, 3, A
IT/24/140, Yash Rao, IT, 4, B
IT/24/141, Qasim Iyer, IT, 1, A
IT/24/142, Chetan Joshi, IT, 2, B
IT/24/143, Chetan Kumar, IT, 3, A
IT/24/144, Asha Singh, IT, 4, B
IT/24/145, Lalit Shah, IT, 1, A
IT/24/146, Zara Sharma, IT, 2, B
IT/24/147, Tara Kumar, IT, 3, A
IT/24/148, Esha Bose, IT, 4, B
IT/24/149, Uday Prasad, IT, 1, A
IT/24/150, Riya Kumar, IT, 2, B
IT/24/151, Isha Ali, IT, 3, A
IT/24/152, Meera Sharma, IT, 4, B
IT/24/153, Zara Shah, IT, 1, A
IT/24/154, Nikhil Singh, IT, 2, B
IT/24/155, Asha Khan, IT, 3, A
IT/24/156, Asha Iyer, IT, 4, B
IT/24/157, Waseem Reddy, IT, 1, A
IT/24/158, Xena Prasad, IT, 2, B
IT/24/159, Farhan Patel, IT, 3, A
IT/24/160, Asha Verma, IT, 4, B
IT/24/161, Hari Das, IT, 1, A
IT/24/162, Meera Rao, IT, 2, B
IT/24/163, Qasim Shah, IT, 3, A
IT/24/164, Gita Iyer, IT, 4, B
IT/24/165, Vidya Reddy, IT, 1, A
IT/24/166, Sahil Sharma, IT, 2, B
IT/24/167, Jatin Das, IT, 3, A
IT/24/168, Asha Singh, IT, 4, B
IT/24/169, Bilal Pillai, IT, 1, A
IT/24/170, Hari Menon, IT, 2, B
IT/24/171, Tara Kumar, IT, 3, A
IT/24/172, Isha Bose, IT, 4, B
IT/24/173, Yash Kumar, IT, 1, A
IT/24/174, Uday Reddy, IT, 2, B
IT/24/175, Qasim Joshi, IT, 3, A
IT/24/176, Esha Shah, IT, 4, B
IT/24/177, Isha Khan, IT, 1, A
IT/24/178, Riya Sharma, IT, 2, B
IT/24/179, Asha Kapoor, IT, 3, A
IT/24/180, Tara Iyer, IT, 4, B
IT/24/181, Yash Das, IT, 1, A
IT/24/182, Jatin Kapoor, IT, 2, B
IT/24/183, Zara Prasad, IT, 3, A
IT/24/184, Zara Rao, IT, 4, B
IT/24/185, Isha Menon, IT, 1, A
IT/24/186, Priya Rao, IT, 2, B
IT/24/187, Waseem Kumar, IT, 3, A
IT/24/188, Nikhil Nair, IT, 4, B
IT/24/189, Qasim Reddy, IT, 1, A
IT/24/190, Waseem Gupta, IT, 2, B
IT/24/191, Qasim Shah, IT, 3, A
IT/24/192, Kavya Khan, IT, 4, B
IT/24/193, Meera Singh, IT, 1, A
IT/24/194, Om Sharma, IT, 2, B
IT/24/195, Vidya Reddy, IT, 3, A
IT/24/196, Xena Singh, IT, 4, B
IT/24/197, Vidya Khan, IT, 1, A
IT/24/198, Gita Gupta, IT, 2, B
IT/24/199, Nikhil Gupta, IT, 3, A
IT/24/200, Meera Bose, IT, 4, B
